Priority,Severity,CVSS Range,Source,Service,Check ID,Title,Resource,Region,SLA (Days),Status,Discovered,Remediation
1,CRITICAL,9.0-10.0,Prowler,iam,iam_aws_attached_policy_no_administrative_privileges,Attached AWS-managed IAM policy does not allow '*:*' administrative privileges,arn:aws:iam::aws:policy/AdministratorAccess,us-east-1,3,OPEN,2026-05-11,"Apply **least privilege**: avoid attaching AWS-managed policies that grant `*:*`.
- Use **customer-managed, scoped polic"
1,CRITICAL,9.0-10.0,Prowler,iam,iam_root_hardware_mfa_enabled,Root account has a hardware MFA device enabled,arn:aws:iam::936102779352:mfa,us-east-1,3,OPEN,2026-05-11,Require a **hardware MFA token** for the root user and remove any virtual MFA. Apply **least privilege**: avoid using ro
1,CRITICAL,9.0-10.0,Prowler,iam,iam_root_mfa_enabled,Root account has MFA enabled,arn:aws:iam::936102779352:root,us-east-1,3,OPEN,2026-05-11,"Enable **MFA** for the root user, preferably **hardware-based** or a dedicated, managed device. Remove root access keys "
1,CRITICAL,9.0-10.0,Prowler,iam,iam_user_administrator_access_policy,IAM user does not have AdministratorAccess policy attached,arn:aws:iam::936102779352:user/lab-admin,us-east-1,3,OPEN,2026-05-11,"Remove direct `AdministratorAccess` from users.
- Apply **least privilege** with scoped policies
- Use **federation** an"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_default_encryption,EBS default encryption is enabled,arn:aws:ec2:us-east-1:936102779352:volume,us-east-1,7,OPEN,2026-05-11,Enable `EBS encryption by default` in every region and select a **customer-managed KMS key**. Apply **least privilege** 
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_volume_encryption,EBS volume is encrypted,arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14,us-east-1,7,OPEN,2026-05-11,"Encrypt all EBS volumes and enable `encryption by default` for new volumes and snapshot copies.

Apply **least privilege"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_ebs_volume_snapshots_exists,EBS volume has at least one snapshot,arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14,us-east-1,7,OPEN,2026-05-11,"Establish automated, policy-based **EBS snapshot** coverage for all volumes aligned to business `RPO/RTO`.
- Schedule re"
2,HIGH,7.0-8.9,Prowler,ec2,ec2_instance_account_imdsv2_enabled,IMDSv2 is required by default for EC2 instances at the account level,arn:aws:ec2:us-east-1:936102779352:account,us-east-1,7,OPEN,2026-05-11,Enforce **IMDSv2** at the account level in every Region by setting `http_tokens` to `required`. Add guardrails with **SC
2,HIGH,7.0-8.9,Prowler,ec2,ec2_networkacl_allow_ingress_any_port,Network ACL does not allow ingress from 0.0.0.0/0 to any port,arn:aws:ec2:us-east-1:936102779352:network-acl/acl-08c37af8e,us-east-1,7,OPEN,2026-05-11,Adopt a **deny-by-default** NACL posture: block `0.0.0.0/0` and allow only required ports from trusted CIDRs. Apply **le
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-1:936102779352:detector/unkno,ap-northeast-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-2:936102779352:detector/unkno,ap-northeast-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-northeast-3:936102779352:detector/unkno,ap-northeast-3,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-south-1:936102779352:detector/unknown,ap-south-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-southeast-1:936102779352:detector/unkno,ap-southeast-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ap-southeast-2:936102779352:detector/unkno,ap-southeast-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:ca-central-1:936102779352:detector/unknown,ca-central-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-central-1:936102779352:detector/unknown,eu-central-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-north-1:936102779352:detector/unknown,eu-north-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-1:936102779352:detector/unknown,eu-west-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-2:936102779352:detector/unknown,eu-west-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:eu-west-3:936102779352:detector/unknown,eu-west-3,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:sa-east-1:936102779352:detector/unknown,sa-east-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-east-1:936102779352:detector/accf0c1fac,us-east-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-east-2:936102779352:detector/unknown,us-east-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-west-1:936102779352:detector/unknown,us-west-1,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_delegated_admin_enabled_all_regions,GuardDuty has delegated admin configured and is enabled in all regions with orga,arn:aws:guardduty:us-west-2:936102779352:detector/unknown,us-west-2,7,OPEN,2026-05-11,Configure a **delegated administrator** for GuardDuty via AWS Organizations. Enable GuardDuty detectors in **all opted-i
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-1:936102779352:detector/unkno,ap-northeast-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-2:936102779352:detector/unkno,ap-northeast-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-northeast-3:936102779352:detector/unkno,ap-northeast-3,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-south-1:936102779352:detector/unknown,ap-south-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-southeast-1:936102779352:detector/unkno,ap-southeast-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ap-southeast-2:936102779352:detector/unkno,ap-southeast-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:ca-central-1:936102779352:detector/unknown,ca-central-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:eu-central-1:936102779352:detector/unknown,eu-central-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:eu-north-1:936102779352:detector/unknown,eu-north-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:eu-west-1:936102779352:detector/unknown,eu-west-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:eu-west-2:936102779352:detector/unknown,eu-west-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:eu-west-3:936102779352:detector/unknown,eu-west-3,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:sa-east-1:936102779352:detector/unknown,sa-east-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:us-east-2:936102779352:detector/unknown,us-east-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:us-west-1:936102779352:detector/unknown,us-west-1,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,guardduty,guardduty_is_enabled,GuardDuty detector is enabled and not suspended,arn:aws:guardduty:us-west-2:936102779352:detector/unknown,us-west-2,7,OPEN,2026-05-11,Enable and keep **GuardDuty** active in all supported Regions and accounts under a delegated admin. Turn on relevant pro
2,HIGH,7.0-8.9,Prowler,iam,iam_user_hardware_mfa_enabled,IAM user has hardware MFA enabled,arn:aws:iam::936102779352:user/lab-admin,us-east-1,7,OPEN,2026-05-11,Require **hardware-backed MFA** for all IAM users. Prefer **FIDO2 security keys** for phishing resistance over TOTP or S
2,HIGH,7.0-8.9,Prowler,iam,iam_user_with_temporary_credentials,IAM user does not use long-lived credentials to access services other than IAM o,arn:aws:iam::936102779352:user/lab-admin,us-east-1,7,OPEN,2026-05-11,Adopt **temporary credentials** via IAM roles and federation for humans and workloads. Remove or restrict long-term keys
2,HIGH,7.0-8.9,Prowler,s3,s3_account_level_public_access_blocks,S3 account-level Block Public Access ignores public ACLs and restricts public bu,arn:aws:s3:us-east-1:936102779352:account,us-east-1,7,OPEN,2026-05-11,"Turn on account-level **Block Public Access** (prefer enabling all four: `block_public_acls`, `ignore_public_acls`, `blo"
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_ebs_volume_protected_by_backup_plan,EBS volume is protected by a backup plan,arn:aws:ec2:us-east-1:936102779352:volume/vol-0fa77f8d51ad14,us-east-1,30,OPEN,2026-05-11,Include all critical EBS volumes in standardized **AWS Backup** plans aligned to your `RPO`/`RTO`. Use tags for automati
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_instance_managed_by_ssm,EC2 instance is managed by AWS Systems Manager or not running,arn:aws:ec2:us-east-1:936102779352:instance/i-00acaf6885e496,us-east-1,30,OPEN,2026-05-11,"Enroll all instances as **Systems Manager managed nodes**. Prefer **Session Manager** over SSH/RDP, restrict inbound adm"
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_instance_profile_attached,EC2 instance is associated with an IAM instance profile role,arn:aws:ec2:us-east-1:936102779352:instance/i-00acaf6885e496,us-east-1,30,OPEN,2026-05-11,Attach an **IAM instance profile** to every instance and grant only permissions each workload requires (**least privileg
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_instance_public_ip,EC2 instance does not have a public IP address,arn:aws:ec2:us-east-1:936102779352:instance/i-00acaf6885e496,us-east-1,30,OPEN,2026-05-11,Avoid assigning public IPs unless strictly required. Place workloads in private subnets and expose only via **load balan
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_networkacl_allow_ingress_tcp_port_22,Network ACL does not allow ingress from the Internet to TCP port 22 (SSH),arn:aws:ec2:us-east-1:936102779352:network-acl/acl-08c37af8e,us-east-1,30,OPEN,2026-05-11,"Apply **least privilege** at the subnet layer:
- Do not allow `0.0.0.0/0` to `TCP 22`
- Restrict SSH to trusted sources,"
3,MEDIUM,4.0-6.9,Prowler,ec2,ec2_networkacl_allow_ingress_tcp_port_3389,Network ACL does not allow ingress from the Internet to TCP port 3389 (RDP),arn:aws:ec2:us-east-1:936102779352:network-acl/acl-08c37af8e,us-east-1,30,OPEN,2026-05-11,"Enforce **least privilege**: do not allow `TCP 3389` from `0.0.0.0/0` in network ACLs.

- Restrict RDP to specific admin"
3,MEDIUM,4.0-6.9,Prowler,guardduty,guardduty_centrally_managed,GuardDuty detector is managed by an administrator account or is the administrato,arn:aws:guardduty:us-east-1:936102779352:detector/accf0c1fac,us-east-1,30,OPEN,2026-05-11,Designate a **delegated administrator** (preferably via *AWS Organizations*) and enroll all accounts as **members**. Ena
3,MEDIUM,4.0-6.9,Prowler,guardduty,guardduty_eks_runtime_monitoring_enabled,GuardDuty detector has EKS Runtime Monitoring enabled,arn:aws:guardduty:us-east-1:936102779352:detector/accf0c1fac,us-east-1,30,OPEN,2026-05-11,"- Enable **EKS Runtime Monitoring** with automated agent management across all accounts and clusters
- Enforce **least p"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_expires_passwords_within_90_days_or_less,IAM account password policy enforces password expiration within 90 days or less,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Enforce **password rotation** at `<= 90` days and **prevent reuse**. Pair with **MFA**, strong length/complexity, and pr"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_minimum_length_14,IAM password policy requires passwords to be at least 14 characters long,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Set the **minimum password length** to `>= 14` (prefer `16+`).
- Require mixed character types and prevent reuse
- Enfor"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_number,IAM password policy requires at least one number,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Enforce the password policy option to `require at least one number`. Combine with strong length, mixed case, and symbols"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_reuse_24,IAM password policy prevents reuse of the last 24 passwords,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Set the password policy to remember `24` previous passwords to block reuse. Combine with **MFA**, strong length and comp"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_symbol,IAM password policy requires at least one symbol,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Enforce the `Require at least one non-alphanumeric character` rule in the **IAM password policy**, alongside strong mini"
3,MEDIUM,4.0-6.9,Prowler,iam,iam_password_policy_uppercase,IAM password policy requires at least one uppercase letter,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,30,OPEN,2026-05-11,"Enable the uppercase rule within a **strong password policy** that also requires length, lowercase, numbers, and symbols"
3,MEDIUM,4.0-6.9,Prowler,s3,s3_bucket_kms_encryption,S3 bucket has server-side encryption with AWS KMS,arn:aws:s3:::config-bucket-936102779352,us-east-1,30,OPEN,2026-05-11,"Enable default **SSE-KMS** (or **DSSE-KMS** for highly sensitive data). Use a customer-managed key, enforce **least priv"
3,MEDIUM,4.0-6.9,Prowler,s3,s3_bucket_no_mfa_delete,S3 bucket has MFA Delete enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,30,OPEN,2026-05-11,"Enable **MFA Delete** on sensitive, versioned buckets so permanent deletions and `Versioning` changes require a second f"
3,MEDIUM,4.0-6.9,Prowler,s3,s3_bucket_object_versioning,S3 bucket has object versioning enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,30,OPEN,2026-05-11,"Enable **S3 versioning** for buckets holding important or shared data.
- Enforce **least privilege** to limit delete/ove"
3,MEDIUM,4.0-6.9,Prowler,s3,s3_bucket_secure_transport_policy,S3 bucket policy denies requests over insecure transport,arn:aws:s3:::config-bucket-936102779352,us-east-1,30,OPEN,2026-05-11,"Enforce **HTTPS-only** access with a bucket policy that denies requests when `aws:SecureTransport=false`.

Prefer **priv"
3,MEDIUM,4.0-6.9,Prowler,s3,s3_bucket_server_access_logging_enabled,S3 bucket has server access logging enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,30,OPEN,2026-05-11,"Enable **server access logging** and send logs to a dedicated log bucket with least privilege, retention, and monitoring"
3,MEDIUM,4.0-6.9,GuardDuty,CredentialAccess,b4dcbe40d0b34963,The user IAMUser : GeneratedFindingUserName is anomalously invoking APIs commonl,AccessKey,us-east-1,30,OPEN,2026-05-11,Investigate affected resource per GuardDuty recommendation
4,LOW,0.1-3.9,Prowler,ec2,ec2_instance_detailed_monitoring_enabled,EC2 instance has detailed monitoring enabled,arn:aws:ec2:us-east-1:936102779352:instance/i-00acaf6885e496,us-east-1,90,OPEN,2026-05-11,Enable **detailed monitoring** to collect `1-minute` metrics on critical instances. Use **defense in depth**: baseline n
4,LOW,0.1-3.9,Prowler,iam,iam_check_saml_providers_sts,IAM SAML provider exists in the account,arn:aws:iam::936102779352:root,us-east-1,90,OPEN,2026-05-11,"Adopt **SAML federation** to issue **short-lived STS credentials**. Map users to roles with **least privilege**, enforce"
4,LOW,0.1-3.9,Prowler,iam,iam_password_policy_lowercase,IAM password policy requires at least one lowercase letter,arn:aws:iam:us-east-1:936102779352:password-policy,us-east-1,90,OPEN,2026-05-11,"Adopt a strong password policy that:
- Enables `Require at least one lowercase letter` plus uppercase, number, and symbo"
4,LOW,0.1-3.9,Prowler,iam,iam_policy_attached_only_to_group_or_roles,IAM user has no inline or attached policies,arn:aws:iam::936102779352:user/lab-admin,us-east-1,90,OPEN,2026-05-11,Assign permissions to **groups** (humans) and **roles** (workloads); avoid user-attached policies. Enforce **least privi
4,LOW,0.1-3.9,Prowler,iam,iam_securityaudit_role_created,At least one IAM role has the SecurityAudit AWS managed policy attached,arn:aws:iam::aws:policy/SecurityAudit,us-east-1,90,OPEN,2026-05-11,Establish a dedicated **audit role** and attach the AWS managed `SecurityAudit` policy. Enforce **least privilege** and 
4,LOW,0.1-3.9,Prowler,iam,iam_support_role_created,At least one IAM role has the AWSSupportAccess managed policy attached,arn:aws:iam::aws:policy/AWSSupportAccess,us-east-1,90,OPEN,2026-05-11,"Create a dedicated IAM role for AWS Support with `AWSSupportAccess` and:
- Restrict who can assume it; require MFA and t"
4,LOW,0.1-3.9,Prowler,s3,s3_bucket_cross_region_replication,S3 bucket has cross-region replication configured to a bucket in a different reg,arn:aws:s3:::config-bucket-936102779352,us-east-1,90,OPEN,2026-05-11,"Enable **CRR** to a different Region with `versioning` and least-privilege roles.

- Replicate needed prefixes and metad"
4,LOW,0.1-3.9,Prowler,s3,s3_bucket_event_notifications_enabled,S3 bucket has event notifications enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,90,OPEN,2026-05-11,"Enable **S3 event notifications** for relevant events (e.g., `s3:ObjectCreated:*`, `s3:ObjectRemoved:*`) and route to co"
4,LOW,0.1-3.9,Prowler,s3,s3_bucket_lifecycle_enabled,S3 bucket has a lifecycle configuration enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,90,OPEN,2026-05-11,"Define **Lifecycle policies** by data classification: set `Expiration` to enforce retention, use `Transitions` to lower-"
4,LOW,0.1-3.9,Prowler,s3,s3_bucket_object_lock,S3 bucket has Object Lock enabled,arn:aws:s3:::config-bucket-936102779352,us-east-1,90,OPEN,2026-05-11,"Enable **Object Lock** for critical data and set appropriate default retention in `GOVERNANCE` or `COMPLIANCE` mode.

Ap"
4,LOW,0.1-3.9,GuardDuty,Recon,3a0dcf66d6bb440c,An unprotected port on EC2 instance i-99999999 is being probed.,Instance,us-east-1,90,OPEN,2026-05-11,Investigate affected resource per GuardDuty recommendation
4,LOW,0.1-3.9,GuardDuty,UnauthorizedAccess,41217b5eb5374a07,198.51.100.0 is performing SSH brute force attacks against i-99999999.,Instance,us-east-1,90,OPEN,2026-05-11,Investigate affected resource per GuardDuty recommendation
4,LOW,0.1-3.9,GuardDuty,Recon,a4cf0c2b9f133d9a,An unprotected port on EC2 instance i-00acaf6885e4962c7 is being probed.,Instance,us-east-1,90,OPEN,2026-05-11,Investigate affected resource per GuardDuty recommendation
4,LOW,0.1-3.9,GuardDuty,Policy,28cf0c2291d171fc,The API CreateServiceLinkedRole was invoked using root credentials.,AccessKey,us-east-1,90,OPEN,2026-05-11,Investigate affected resource per GuardDuty recommendation
